h3,total,prop_sin_asal,prop_peq_patr,prop_myg_patr,prop_agric,prop_ganaderia,hc_clst_4,hc_clst_5,hc_clst_6,hc_clst_7
87a945b9dffffff,2,1,0,0,0,1,3,3,3,3
87a945ba4ffffff,3,1,0,0,0,1,3,3,3,3
87a945ba8ffffff,9,1,0,0,0,0.8888888888888888,3,3,3,3
87a945baaffffff,1,1,0,0,0,1,3,3,3,3
87a945babffffff,1,1,0,0,1,0,4,5,5,7
87a945badffffff,3,1,0,0,0.3333333333333333,0.6666666666666666,4,5,5,5
87a945baeffffff,6,1,0,0,0,0.8333333333333334,4,5,5,5
87a945c40ffffff,1,1,0,0,0,1,3,3,3,3
87a945c96ffffff,4,0,0,1,0,1,1,4,4,4
87a945c98ffffff,3,0,1,0,0,0.6666666666666666,1,1,1,1
87a945ca1ffffff,2,0,1,0,0.5,0.5,1,1,1,1
87a945cb4ffffff,1,0,1,0,0,1,2,2,2,2
87a945d04ffffff,2,1,0,0,0,1,3,3,3,3
87a945d06ffffff,1,1,0,0,0,1,3,3,3,3
87a945d0bffffff,1,1,0,0,0,1,3,3,3,3
87a945d0cffffff,2,1,0,0,0,1,3,3,3,3
87a945d10ffffff,1,0,1,0,0,1,2,2,2,2
87a945d12ffffff,2,1,0,0,0,1,3,3,3,3
87a945d20ffffff,2,1,0,0,0,1,3,3,3,3
87a945d22ffffff,6,0.5,0.5,0,0,1,4,5,5,5
87a945d25ffffff,1,1,0,0,0,1,3,3,3,3
87a945d28ffffff,1,1,0,0,0,1,3,3,3,3
87a945d2affffff,1,1,0,0,0,1,3,3,3,3
87a945d2bffffff,1,0,0,1,0,1,1,4,4,4
87a945d35ffffff,1,1,0,0,0,1,3,3,3,3
87a945d86ffffff,1,1,0,0,0,1,3,3,3,3
87a945da6ffffff,2,1,0,0,0,0.5,4,5,5,5
87a945da8ffffff,1,0,1,0,0,1,2,2,2,2
87a945daaffffff,1,1,0,0,1,0,4,5,5,7
87a945db0ffffff,1,1,0,0,0,1,3,3,3,3
87a945db2ffffff,1,1,0,0,0,1,3,3,3,3
87a945db3ffffff,1,1,0,0,0,1,3,3,3,3
87a945db4ffffff,1,1,0,0,1,0,4,5,5,7
87a945db6ffffff,2,0.5,0.5,0,0,0.5,4,5,5,5
87a946001ffffff,1,0,1,0,0,1,2,2,2,2
87a946081ffffff,3,1,0,0,0,0,4,5,5,5
87a946082ffffff,2,1,0,0,0,0,4,5,5,5
87a946090ffffff,3,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1,1,1,1
87a946091ffffff,1,0,1,0,0,0,1,1,1,1
87a946092ffffff,2,1,0,0,1,0,4,5,5,7
87a946096ffffff,2,0,0.5,0.5,1,0,1,1,1,1
87a9460a1ffffff,2,1,0,0,0.5,0,4,5,5,7
87a9460aeffffff,1,1,0,0,1,0,4,5,5,7
