h3,tipo,agricultura_med_grandes_patrones,ganaderia_med_grandes_patrones,ganaderia_peq_patrones,ganaderia_sin_asal,agricultura_peq_patrones,agricultura_sin_asal,forestal_peq_patrones,mixta_sin_asal,mixta_med_grandes_patrones,mixta_peq_patrones,forestal_med_grandes_patrones,total,n_sin_asal,n_peq_patr,n_myg_patr,n_agric,n_ganaderia,prop_sin_asal,prop_peq_patr,prop_myg_patr,prop_agric,prop_ganaderia
87a944782ffffff,NAF,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
87a944790ffffff,Estab. OEDE,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
87a944790ffffff,NAF,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,1,0,0,1,0
87a944792ffffff,Estab. OEDE,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
87a944793ffffff,NAF,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,1,0,0,1,0
87a944796ffffff,Estab. OEDE,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
87a94479affffff,Estab. OEDE,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
87a9447a1ffffff,NAF,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
87a944a04ffffff,Estab. OEDE,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
87a944a12ffffff,NAF,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
87a944a14ffffff,NAF,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,3,0,1,0,0,1,0
87a944a16ffffff,NAF,0,0,0,1,0,20,0,0,0,0,0,21,21,0,0,20,1,1,0,0,0.9523809523809523,0.047619047619047616
87a944a32ffffff,NAF,0,0,0,5,0,2,0,3,0,0,0,10,10,0,0,2,5,1,0,0,0.2,0.5
87a944a41ffffff,NAF,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,3,1,0,0,0,1
87a944a43ffffff,NAF,0,0,0,4,0,0,0,1,0,0,0,5,5,0,0,0,4,1,0,0,0,0.8
87a944a4affffff,NAF,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,1,0,0,0
87a944a55ffffff,Estab. OEDE,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
87a944a55ffffff,NAF,0,0,1,0,0,0,0,0,0,1,0,2,0,2,0,0,1,0,1,0,0,0.5
87a944a56ffffff,NAF,0,0,0,7,0,0,0,0,0,0,0,7,7,0,0,0,7,1,0,0,0,1
87a944a58ffffff,Estab. OEDE,0,2,3,0,0,0,1,0,0,0,0,6,0,4,2,0,5,0,0.6666666666666666,0.3333333333333333,0,0.8333333333333334
